"ROI_ID","CHAPTER_PRIMARY_CODE","ACCOUNT_CLASS_NAME"
6706949,"NRRO","Individual"
6932883,"NRRO","Individual"
6936173,"NRRO","Individual"
6839617,"NRRO","Individual"
6839625,"NRRO","Individual"
6839633,"NRRO","Individual"
6839641,"NRRO","Individual"
6839658,"NRRO","Individual"
6839666,"NRRO","Individual"
6839674,"NRRO","Individual"
6851331,"NRRO","Individual"
6831721,"NRRO","Individual"
6831739,"NRRO","Individual"
6831747,"NRRO","Individual"
6851570,"NRRO","Individual"
6929442,"NRRO","Individual"
6929673,"NRRO","Individual"
6616361,"NRRO","Individual"
6594329,"NRRO","Individual"
6729354,"NRRO","Individual"
6589659,"NRRO","Individual"
6589683,"NRRO","Individual"
6932800,"NRRO","Individual"
6818090,"NRRO","Individual"
6889570,"NRRO","Individual"
6831606,"NRRO","Individual"
6592505,"NRRO","Individual"
6623771,"NRRO","Individual"
6866222,"NRRO","Individual"
6939086,"NRRO","Individual"
6939128,"NRRO","Individual"
6831614,"NRRO","Individual"
6831630,"NRRO","Individual"
6831648,"NRRO","Individual"
6831663,"NRRO","Individual"
6831671,"NRRO","Individual"
6831697,"NRRO","Individual"
6595730,"NRRO","Individual"
6869143,"NRRO","Individual"
6875058,"NRRO","Individual"
6616056,"NRRO","Individual"
6592364,"NRRO","Individual"
6724819,"NRRO","Individual"
6992028,"NRRO","Individual"
6619597,"NRRO","Individual"
6627483,"NRRO","Individual"
6739817,"NRRO","Individual"
6953756,"NRRO","Individual"
6631113,"NRRO","Individual"
6954184,"NRRO","Individual"
8154221,"NRRO","Individual"
8042392,"NRRO","Individual"
100318085,"NRRO","Individual"
8035958,"NRRO","Individual"
8106718,"NRRO","Individual"
8033060,"NRRO","Individual"
8104549,"NRRO","Individual"
8104556,"NRRO","Individual"
8104564,"NRRO","Individual"
8079758,"NRRO","Individual"
8098519,"NRRO","Individual"
8080004,"NRRO","Individual"
8033482,"NRRO","Individual"
8033490,"NRRO","Individual"
8157554,"NRRO","Individual"
8064172,"NRRO","Individual"
